id,county,estimate_housing_occupancy_total_housing_units_occupied_housing_units,percent_housing_occupancy_total_housing_units_occupied_housing_units,estimate_housing_occupancy_total_housing_units_vacant_housing_units,percent_housing_occupancy_total_housing_units_vacant_housing_units,estimate_housing_occupancy_total_housing_units_homeowner_vacancy_rate,estimate_housing_occupancy_total_housing_units_rental_vacancy_rate,estimate_units_in_structure_total_housing_units_1_unit_detached,estimate_units_in_structure_total_housing_units_1_unit_attached,estimate_units_in_structure_total_housing_units_2_units,estimate_units_in_structure_total_housing_units_3_or_4_units,estimate_units_in_structure_total_housing_units_5_to_9_units,estimate_units_in_structure_total_housing_units_10_to_19_units,estimate_units_in_structure_total_housing_units_20_or_more_units,estimate_units_in_structure_total_housing_units_mobile_home,estimate_units_in_structure_total_housing_units_boat_rv_van_etc,estimate_year_structure_built_total_housing_units_built_2014_or_later,percent_year_structure_built_total_housing_units_built_2014_or_later,estimate_year_structure_built_total_housing_units_built_2010_to_2013,percent_year_structure_built_total_housing_units_built_2010_to_2013,estimate_year_structure_built_total_housing_units_built_2000_to_2009,percent_year_structure_built_total_housing_units_built_2000_to_2009,estimate_year_structure_built_total_housing_units_built_1990_to_1999,percent_year_structure_built_total_housing_units_built_1990_to_1999,estimate_year_structure_built_total_housing_units_built_1980_to_1989,percent_year_structure_built_total_housing_units_built_1980_to_1989,estimate_year_structure_built_total_housing_units_built_1970_to_1979,percent_year_structure_built_total_housing_units_built_1970_to_1979,estimate_year_structure_built_total_housing_units_built_1960_to_1969,percent_year_structure_built_total_housing_units_built_1960_to_1969,estimate_year_structure_built_total_housing_units_built_1950_to_1959,percent_year_structure_built_total_housing_units_built_1950_to_1959,estimate_year_structure_built_total_housing_units_built_1940_to_1949,percent_year_structure_built_total_housing_units_built_1940_to_1949,estimate_year_structure_built_total_housing_units_built_1939_or_earlier,percent_year_structure_built_total_housing_units_built_1939_or_earlier,estimate_rooms_total_housing_units_median_rooms,estimate_occupants_per_room_occupied_housing_units,estimate_occupants_per_room_occupied_housing_units_1_00_or_less,estimate_occupants_per_room_occupied_housing_units_1_01_to_1_50,estimate_occupants_per_room_occupied_housing_units_1_51_or_more
0500000US06079,San Luis Obispo County,106512,0.8590000000000001,17457,0.141,2,7.5,83416,6292,5225,7334,4904,3318,3985,9447,48,4922,0.04,2901,0.023,18790,0.152,14740,0.11900000000000001,26728,0.21600000000000003,22959,0.185,10605,0.086,9413,0.076,5060,0.040999999999999995,7851,0.063,5.2,106512,102777,2724,1011
0500000US06081,San Mateo County,265003,0.945,15497,0.055,0.8,4.5,151993,23081,6278,16928,18232,19146,42351,2143,348,7677,0.027000000000000003,4303,0.015,15083,0.054000000000000006,18481,0.066,27235,0.09699999999999999,43919,0.157,46510,0.166,63115,0.225,29800,0.106,24377,0.087,5,265003,244202,12687,8114
0500000US06083,Santa Barbara County,146466,0.92,12820,0.08,1.3,3.8,91322,10501,5058,7720,13021,10531,14430,6703,0,4241,0.027000000000000003,2539,0.016,11089,0.07,16846,0.106,23752,0.149,28522,0.179,28999,0.182,23109,0.145,6345,0.04,13844,0.087,4.9,146466,131907,9439,5120
0500000US06085,Santa Clara County,643637,0.938,42669,0.062,0.8,5,345405,71591,10683,35163,34823,39103,129489,19646,403,35027,0.051,13935,0.02,58975,0.086,66193,0.096,85961,0.125,147217,0.215,123999,0.18100000000000002,96454,0.141,23699,0.035,34846,0.051,5,643637,593837,29477,20323
0500000US06087,Santa Cruz County,97710,0.912,9427,0.08800000000000001,0.4,2,70428,7306,3778,6137,4945,3188,5840,5497,18,1286,0.012,1030,0.01,8561,0.08,8073,0.075,17777,0.166,22769,0.213,15502,0.145,10353,0.09699999999999999,8887,0.083,12899,0.12,5.1,97710,91250,4406,2054
0500000US06089,Shasta County,72714,0.925,5907,0.075,0.6,1.4,54857,1762,1952,4106,2689,622,2819,9398,416,1437,0.018000000000000002,1024,0.013000000000000001,10609,0.135,13160,0.16699999999999998,13688,0.174,17082,0.217,8827,0.11199999999999999,7182,0.091,3215,0.040999999999999995,2397,0.03,5.3,72714,70746,1515,453
0500000US06095,Solano County,150393,0.941,9411,0.059000000000000004,0.8,4.3,111701,6952,2473,9410,9121,5993,9159,4539,456,6087,0.038,2641,0.017,18715,0.11699999999999999,23127,0.145,33196,0.20800000000000002,31729,0.19899999999999998,16031,0.1,11762,0.07400000000000001,6518,0.040999999999999995,9998,0.063,5.6,150393,143212,4315,2866
0500000US06097,Sonoma County,190689,0.915,17604,0.085,0.3,2.7,139703,14727,4507,9733,8622,8485,12550,9706,260,6479,0.031,2876,0.013999999999999999,21318,0.102,30828,0.14800000000000002,36929,0.177,41133,0.19699999999999998,23955,0.115,17070,0.08199999999999999,10149,0.049,17556,0.084,5.2,190689,180061,7729,2899
0500000US06099,Stanislaus County,174698,0.955,8289,0.045,1.2,1.9,139594,5735,4011,6133,5127,3371,10651,8276,89,3530,0.019,2445,0.013000000000000001,30050,0.16399999999999998,24867,0.136,29327,0.16,38432,0.21,17493,0.096,13949,0.076,9065,0.05,13829,0.076,5.3,174698,162029,10023,2646
0500000US06101,Sutter County,33039,0.956,1538,0.044000000000000004,4.2,0.3,24550,1549,1287,1738,1245,721,1889,1150,448,510,0.015,471,0.013999999999999999,5557,0.161,4669,0.135,6017,0.174,5848,0.16899999999999998,4309,0.125,3273,0.095,2559,0.07400000000000001,1364,0.039,5.4,33039,30273,1731,1035
0500000US06103,Tehama County,25310,0.909,2538,0.091,1.2,0,19569,463,145,98,1002,164,1522,4563,322,500,0.018000000000000002,518,0.019,3866,0.139,3325,0.11900000000000001,5244,0.188,5908,0.212,2742,0.098,2855,0.10300000000000001,1047,0.038,1843,0.066,5.5,N,N,N,N
0500000US06107,Tulare County,144109,0.951,7490,0.049,0.6,2.4,113844,5127,3674,8047,2986,2736,4964,9952,269,8511,0.055999999999999994,3939,0.026000000000000002,26924,0.17800000000000002,19781,0.13,26593,0.175,25079,0.165,14922,0.098,11402,0.075,8242,0.054000000000000006,6206,0.040999999999999995,5.3,144109,130059,11685,2365
0500000US06111,Ventura County,268524,0.9209999999999999,23023,0.079,1.1,4.5,182114,37035,3676,12432,13314,13046,18784,11024,122,5722,0.02,3508,0.012,28168,0.09699999999999999,29811,0.102,51728,0.177,68871,0.23600000000000002,56072,0.192,26843,0.092,8665,0.03,12159,0.042,5.6,268524,251641,11978,4905
0500000US06113,Yolo County,76075,0.96,3177,0.04,0,2.1,45588,5625,1734,4141,5785,5738,7778,2619,244,2404,0.03,2361,0.03,11032,0.139,11561,0.146,10567,0.133,15673,0.198,9747,0.12300000000000001,8120,0.102,3301,0.042,4486,0.057,5.1,76075,72452,2579,1044
0500000US06115,Yuba County,26827,0.9229999999999999,2224,0.077,0,7.6,20262,469,1170,804,1019,1470,1373,2204,280,1002,0.034,614,0.021,6892,0.237,3605,0.124,3088,0.106,4834,0.166,3357,0.11599999999999999,2892,0.1,1379,0.047,1388,0.048,5.5,26827,25446,835,546
0400000US06,California,13157873,0.9159999999999999,1209139,0.084,1.2,4.1,8206562,982710,342815,789366,876097,749775,1864561,537931,17195,454864,0.032,241416,0.017,1536326,0.107,1550276,0.10800000000000001,2129811,0.14800000000000002,2506006,0.174,1912547,0.133,1905907,0.133,831501,0.057999999999999996,1298358,0.09,5,13157873,12082511,687977,387385
